LABEL-1,LABEL-3,LABEL-4,LABEL-5,LABEL-7
https://www.bankeebricks.ph/20614-home_default/5702017597454.jpg,"LEGO® LEL Disney Princess 40720 Mini Disney Sleeping Beauty Castle, Age 12+, Building Blocks, 2024 (538pcs)","PHP 3,499.00",11In Stock,"Delight a Disney fan with the LEGO® Mini Disney Sleeping Beauty Castle (40720), an enchanting castle building toy for kids aged 12 and up. Inspired by the Sleeping Beauty Walkthrough attraction at Disneyland California, this mini Disney castle includes LEGO pieces in traditional shades of pink, blue and gold. The buildable castle playset also includes a..."
https://www.bankeebricks.ph/20626-home_default/5702017652917.jpg,"LEGO® LEL Brickheadz 40751 Legolas & Gimli™, Age 10+, Building Blocks, 2024 (297pcs)","PHP 1,599.00",1In Stock,Rekindle memories of epic Fellowship of the Ring adventures with LEGO® BrickHeadz™ Legolas & Gimli™ (40751) figures. Both models in this The Lord of the Rings™ hero toy building set for kids aged 10 and up have instantly recognizable decorations to delight fans. The Legolas figure holds a bow-and-arrow element and the Gimli figure has an axe. A fun...
https://www.bankeebricks.ph/20639-home_default/5702017652931.jpg,"LEGO® LEL Brickheadz 40753 Mirabel Madrigal, Age 10+, Building Blocks, 2024 (179pcs)",PHP 799.00,4In Stock,"Enchant kids and movie fans with this LEGO® BrickHeadz™ Mirabel Madrigal (40753) set for girls and boys aged 10 and up. Based on the hero from Disney's Encanto, the buildable collectible Mirabel figure comes dressed in a floral white top and blue skirt, as well as the iconic round glasses. Kids will love building this Encanto construction toy before using..."
https://www.bankeebricks.ph/20587-home_default/lego-animal-crossing-77051-fly-with-dodo-airlines-age-7-building-blocks-2024-292pcs-multicolor.jpg,"LEGO® Animal Crossing 77051 Fly with Dodo Airlines, Age 7+, Building Blocks, 2024 (292pcs)","PHP 2,999.00",6In Stock,"Let kids' imaginations take flight with the LEGO® Animal Crossing™ Fly with Dodo Airlines Airport Playset (77051). Girls and boys aged 7 plus head off aboard the LEGO seaplane to explore a new island, just as they would in the Animal Crossing video game. This feature-packed building toy set lets kids play out stories of their own within this familiar..."
https://www.bankeebricks.ph/20595-home_default/lego-animal-crossing-77052-k-k-s-concert-at-the-plaza-age-7-building-blocks-2024-550pcs-multicolor.jpg,"LEGO® Animal Crossing 77052 K.K.'s Concert at the Plaza, Age 7+, Building Blocks, 2024 (550pcs)","PHP 6,799.00",9In Stock,"Girls and boys aged 7 plus create their own stories inspired by the Animal Crossing™ video game series with the K.K.'s Concert in the Plaza (77052) building toy. First, they build scenes from their screens, then with the LEGO® Animal Crossing 3 minifigures and many recognizable toy accessories from the video games series, they take the pretend play..."
https://www.bankeebricks.ph/20545-home_default/lego-super-heroes-76297-dancing-groot-age-10-building-blocks-2024-459pcs-multicolor.jpg,"LEGO® Super Heroes 76297 Dancing Groot, Age 10+, Building Blocks, 2024 (459pcs)","PHP 3,999.00",1In Stock,"LEGO® Marvel Dancing Groot (76297) is a buildable Guardians of the Galaxy toy with an interactive dancing function. It makes a great gift for kids aged 10 and up who are fans of the Marvel character Groot, Super Heroes and buildable LEGO toys. This Groot building toy for kids has a movable head and posable arms. When kids turn the handle at the back of..."
https://www.bankeebricks.ph/20524-home_default/lego-super-heroes-76289-thor-vs-surtur-construction-figure-age-8-building-blocks-2024-245pcs-multicolor.jpg,"LEGO® Super Heroes 76289 Thor vs. Surtur Construction Figure, Age 8+, Building Blocks, 2024 (245pcs)","PHP 2,499.00",13In Stock,"This LEGO® Marvel Thor vs. Surtur Construction Figure (76289) buildable Super Hero toy is based on a scene from Marvel Studios' hit movie Thor: Ragnarok. With iconic characters, exciting features and endless opportunities for imaginative Super Hero adventures, this LEGO Marvel playset makes a great gift for kids aged 8 and up. The set includes 3..."
https://www.bankeebricks.ph/20553-home_default/lego-speed-champions-76934-ferrari-f40-supercar-age-9-building-blocks-2024-318pcs-multicolor.jpg,"LEGO® Speed Champions 76934 Ferrari F40 Supercar, Age 9+, Building Blocks, 2024 (318pcs)","PHP 1,999.00",52In Stock,"Boys and girls aged 9+ can collect, build, play with and display this incredible LEGO® Speed Champions Ferrari F40 (76934) car toy. Designed to celebrate the 40th anniversary of the iconic Italian car brand, the F40 was the last model personally approved by Ferrari founder Enzo Ferrari, and this fantastic buildable vehicle for kids features lots of famous..."
https://www.bankeebricks.ph/20532-home_default/lego-super-heroes-76290-the-avengers-vs-the-leviathan-age-7-building-blocks-2024-347pcs-multicolor.jpg,"LEGO® Super Heroes 76290 The Avengers vs. The Leviathan, Age 7+, Building Blocks, 2024 (347pcs)","PHP 3,799.00",6In Stock,"The LEGO® Marvel The Avengers vs. The Leviathan (76290) collectible Super Hero playset recreates the final battle scene from Marvel Studios' Marvel: The Avengers. This buildable LEGO Marvel model for kids aged 7 and up features an iconic cast of characters, plus a host of authentic features and functions. The set includes 4 minifigures – Captain America..."
https://www.bankeebricks.ph/20561-home_default/lego-speed-champions-76935-nascar-next-gen-chevrolet-camaro-zl1-age-9-building-blocks-2024-328pcs-multicolor.jpg,"LEGO® Speed Champions 76935 NASCAR® Next Gen Chevrolet Camaro ZL1, Age 9+, Building Blocks, 2024 (328pcs)","PHP 1,999.00",9In Stock,"Boys and girls aged 9+ and NASCAR® fans can collect, build, play with and display this LEGO® Speed Champions NASCAR Next Gen Chevrolet Camaro ZL1 (76935) toy car for kids. This powerful race car decorated in vibrant colors and flames includes design details from real-life cars that race in the NASCAR Cup Series. The NASCAR toy model car includes realistic..."
https://www.bankeebricks.ph/20540-home_default/lego-super-heroes-76291-the-avengers-assemble--age-of-ultron-age-10-building-blocks-2024-613pcs-multicolor.jpg,"LEGO® Super Heroes 76291 The Avengers Assemble: Age of Ultron, Age 10+, Building Blocks, 2024 (613pcs)","PHP 8,499.00",5In Stock,"The Avengers Assemble: Age of Ultron (76291) buildable toy is a collectible Super Hero-adventure LEGO® set filled with authentic Avengers action. With iconic Marvel characters and a mega, modular design, it's an ideal gift for fans of Super Hero playsets, LEGO Marvel minifigures and model-making aged 10 and up. The playset is based on the big battle scene..."
https://www.bankeebricks.ph/20567-home_default/lego-sonic-76997-tails-adventure-boat-age-8-building-blocks-2024-393pcs-multicolor.jpg,"LEGO® Sonic 76997 Tails' Adventure Boat, Age 8+, Building Blocks, 2024 (393pcs)","PHP 4,299.00",8In Stock,"Appeal to young adventure-lovers and video game character fans ages 8+ with a fun gamer gift in this Tails' Adventure Boat (76997) toy building set for kids, packed with functions and interactive play options. This LEGO® Sonic the Hedgehog™ collectible playset features a boat with a built-in speed sphere launcher on the front, karaoke machine and dance..."
https://www.bankeebricks.ph/20574-home_default/lego-sonic-76998-knuckles-and-the-master-emerald-shrine-age-8-building-blocks-2024-325pcs-multicolor.jpg,"LEGO® Sonic 76998 Knuckles and the Master Emerald Shrine, Age 8+, Building Blocks, 2024 (325pcs)","PHP 2,799.00",10In Stock,"Thrill video game fans aged 8+ with adventure and heroes in this Knuckles and the Master Emerald Shrine (76998) buildable set. The LEGO® Sonic the Hedgehog™ collectible toy includes a shrine with 4 Chaos Emeralds, Knuckles' quarters beneath the shrine with workout area, a rotating floor and a grapevine, Amy's hammer and a catapult to launch grapes at the..."
